1510683334.01::Air raids kill 29 civilians in Syria https:\/\/t.co\/m57aquJSrV
1510683335.33::RT @IsraelPolicy4m: With the recent U.S.-Jordan-Russia ceasefire in Syria, IPF's @EvanGottesman asks: how much does Israeli policy in S\u2026 
1510683335.95::RT @NIVIsa4031: Classified Memo Proves Hillary Supplied Weapons from Benghazi to Al-Qaeda in Syria; DOJ Could Still Indict\u2026 
1510683337.28::RT @domihol: @JohnDelacour @SH32328951 @EliotHiggins @AricToler ... rusty bits of weaponry are found all over Syria in military\u2026 
1510683337.28::RT @BanDaesh: Younus AlGohar's Challenge to #ISIS https:\/\/t.co\/tqrYvG8f30 #ISIL #Daesh #IslamicState #Iraq #Syria #Libya #Yemen\u2026 
1510683343.12::RT @ISF_OSAC: Great info, @OSACState! Log on for more from #osacweek. #isfdinner https:\/\/t.co\/PdcyZxEbcc
1510683344.04::RT @AmjadHussain299: Younus AlGohar's Solution to #Terrorism https:\/\/t.co\/lIsbfwS4QT #Wahhabism #Salafism #SaudiArabia #ISIS #Taliban\u2026 
1510683344.26::RT @jrdnrzk: In just 1 year Saudi Arabia has:\n\u2022 Funded rebels in Syria that are associated with Al-Qaeda\n\u2022 Launched a war agains\u2026 
1510683345.37::RT @RealJamesWoods: Maybe you would be happier if you went there... https:\/\/t.co\/oEHDCQY39j
1510683348.85::RT @juliettekayyem: Trump got played. https:\/\/t.co\/XowYiE7Chx
1510683351.82::https:\/\/t.co\/5lOaKUrJqH  Air raids on market kill 53 in north #Syria town: monitor #Spain #pakistan #india
1510683354.18::RT @PrisonPlanet: Reminder: The very first Arab feminist groups discarded the hijab.\n\nWomen in areas of Syria areas liberated from IS\u2026 
1510683357.66::RT @BarakRavid: BREAKING: Russian FM Lavrov: Russia has not promised to ensure a withdrawal of pro-Iranian forces from Syria. The p\u2026 
1510683359.51::RT @leventkemaI: Mattis, 'uzun sava\u015f' s\u00f6yleminin i\u00e7ini dolduran bir a\u00e7\u0131klama yapt\u0131. I\u015e\u0130D ile sava\u015fmak istedikleri s\u00fcrece sava\u015faca\u011f\u0131z\u2026 
1510683359.91::Video Emerges Of US Allowing ISIS Fighters To Escape Safely In Syria | Zero Hedge https:\/\/t.co\/lNRD3nsDpT
1510683360.73::\u0397\u03a0\u0391 \u03ba\u03b1\u03b9 \u0392\u03c1\u03b5\u03c4\u03b1\u03bd\u03af\u03b1 \u00ab\u03c6\u03c5\u03b3\u03ac\u03b4\u03b5\u03c5\u03c3\u03b1\u03bd\u00bb \u03c7\u03b9\u03bb\u03b9\u03ac\u03b4\u03b5\u03c2 \u03bc\u03b1\u03c7\u03b7\u03c4\u03ad\u03c2 \u03c4\u03bf\u03c5 ISIS \u03b1\u03c0\u03cc \u03c4\u03b7 \u03a3\u03c5\u03c1\u03af\u03b1 https:\/\/t.co\/ki1MzG7cXM \u03bc\u03ad\u03c3\u03c9 \u03c4\u03bf\u03c5 \u03c7\u03c1\u03ae\u03c3\u03c4\u03b7 @wpvkp
1510683362.88::Reports in #Gaza : PIJ is being heavily pressured by Iran to initiate a conflict with Israel , partly because the r\u2026 https:\/\/t.co\/KhWrHV1kou
